Chromosome	Start	End	Gene
14	55034638	55255662	SAMD4A
19	51446561	51456344	KLK5
19	51461888	51472929	KLK6
19	51479729	51487320	KLK7
19	51499264	51504958	KLK8
19	51503806	51512890	KLK9
19	51516001	51523431	KLK10
19	51525489	51531290	KLK11
19	51532348	51538486	KLK12
1	50307493	50312072	ZNF859P
HG544_PATCH	17631958	17659376	PTPLA
HG544_PATCH	17686124	17757913	STAM
HSCHR12_1_CTG1	120780	232475	IQSEC3
HG14_PATCH	57517884	57541253	ZNF716
HG991_PATCH	66119285	66465398	SLC25A26
HG989_PATCH	31882412	31907525	SERINC2
19	55644162	55660606	TNNT1
19	55663138	55669100	TNNI3
19	55684464	55691720	SYT5
19	55692618	55720874	PTPRH
19	49436939	49448226	DHDH
19	55738002	55740632	TMEM86B
19	49458072	49465055	BAX
19	49468566	49470135	FTL
19	49471382	49496567	GYS1
19	49497156	49519182	RUVBL2
HG858_PATCH	116765	228460	IQSEC3
1	6845384	7827916	CAMTA1
11	18134019	18137679	SAA3P
1	9005922	9035151	CA6
1	9063359	9086404	SLC2A7
1	9095166	9148537	SLC2A5
1	9711790	9789172	PIK3CD
1	86115106	86174116	ZNHIT6
19	1576678	1592710	MBD3
19	1609293	1652326	TCF3
2	88991162	89050445	RPIA
11	93394805	93463522	KIAA1731
1	55532032	55681039	USP24
11	94152895	94227074	MRE11A
1	26437664	26452034	PDIK1L
1	26496362	26498551	ZNF593
1	26503894	26516377	CNKSR1
11	94226795	94232749	ANKRD49
1	26517052	26529459	CATSPER4
11	94277006	94354587	PIWIL4
11	94277017	94283063	FUT4
2	96257766	96265526	TRIM43
11	94822974	94865809	ENDOD1
11	94898704	94965705	SESN3
HSCHR6_MHC_SSTO	30448676	30453414	HLA-E
1	27561007	27635110	WDTC1
1	65713902	65881552	DNAJC6
1	27648651	27662891	TMEM222
1	65886248	66107242	LEPR
1	65886270	65901690	LEPROT
1	27668513	27680421	SYTL1
2	79412357	80875905	CTNNA2
11	77882295	77899868	KCTD21
1	66258197	66840259	PDE4B
1	27681670	27693383	MAP3K6
11	77899858	77925757	USP35
6	28699794	28700681	RPSAP2
1	27705666	27709870	CD164L2
17	11501748	11873485	DNAH9
HSCHR6_MHC_APD	30390730	30395334	MICC
1	27719148	27722318	GPR3
1	27730730	27816669	WASF2
1	27860546	27930942	AHDC1
1	9712668	9714644	C1orf200
1	27938575	27961788	FGR
1	9789084	9884584	CLSTN1
2	84650647	84687169	SUCLG1
1	27992572	27998729	IFI6
6	30382492	30387096	MICC
6	30434229	30435771	TMPOP1
1	28527068	28559536	DNAJC8
11	77225981	77348850	CLNS1A
11	49426527	49437299	TYRL
1	28562620	28573417	ATPIF1
1	76190036	76253260	ACADM
1	28586038	28609002	SESN2
11	77300436	77321400	AQP11
1	76251879	76261100	RABGGTB
1	76262567	76378923	MSH4
1	76540389	77100286	ST6GALNAC3
1	77554675	77685115	PIGK
11	55493696	55494628	OR5D3P
11	56738325	56739621	OR5AK3P
11	57684769	57685711	OR5AZ1P
1	31769842	31837783	ZCCHC17
11	85566144	85631064	CCDC83
1	78245309	78344106	FAM73A
11	85668727	85780924	PICALM
1	78354198	78409580	NEXN
2	75873909	75917977	MRPL19
11	86656721	86666433	FZD4
2	86066267	86116137	ST3GAL5
1	78445226	78604133	GIPC2
11	83166055	85338966	DLG2
1	79355449	79472403	ELTD1
2	86247339	86333278	POLR1A
2	86333305	86369280	PTCD3
6	64325732	64326266	RPL9P18
2	76974845	77820445	LRRTM4
11	77811982	77850706	ALG8
1	86194916	86622626	COL24A1
22	26565440	26779562	SEZ6L
11	88026773	88070955	CTSC
20	6748311	6760910	BMP2
1	86889769	86922241	CLCA2
1	86934051	86965972	CLCA1
1	87170259	87213867	SH3GLB1
1	87380331	87634887	HS2ST1
22	28202413	28316122	PITPNB
11	88237744	88799113	GRM5
20	9518036	9819689	PAK7
2	86371055	86422893	IMMT
1	89990395	90063423	LRRC8B
1	90098631	90398809	LRRC8C
20	13246709	13619587	TASP1
1	90286573	90402170	LRRC8D
5	63461671	63668696	RNF180
6	28048753	28057341	ZNF165
6	28109716	28124089	ZNF192
10	78637355	79398353	KCNMA1
10	80828792	81076285	ZMIZ1
6	73951037	74020088	KHDC1
6	74062785	74064018	DPPA5
1	91726323	91870426	HFM1
5	60628100	60841997	ZSWIM6
3	38738293	38835501	SCN10A
7	44102326	44105186	PGAM2
3	33131913	33138293	TMPPE
3	33155471	33185153	CRTAP
1	67632083	67725662	IL23R
17	14204400	14252721	HS3ST3B1
3	33191537	33260707	SUSD5
3	39093489	39138155	WDR48
1	67773047	67862583	IL12RB2
11	32605344	32627808	EIF3M
3	33318517	33445154	FBXL2
1	67873493	67896098	SERBP1
7	56119323	56131682	CCT6A
1	68511645	68517314	DIRAS3
9	100263462	100364023	TMOD1
6	52535907	52551386	TMEM14A
1	68894505	68915642	RPE65
6	52614897	52628367	GSTA2
1	68939835	68962904	DEPDC1
11	32623792	32816204	CCDC73
1	70034081	70589164	LRRC7
17	15934718	16119010	NCOR1
1	92145902	92371892	TGFBR3
5	64961755	65018862	SGTB
1	92414928	92479983	BRDT
5	65018023	65167553	NLN
16	30844947	30906281	BCL7C
17	16120524	16229573	PIGL
3	39138150	39149854	GORASP1
7	56131695	56148363	SUMF2
16	30907928	30914881	CTF1
16	30934376	30960104	FBXL19
11	89934328	89956532	CHORDC1
1	71868625	72748417	NEGR1
16	30960387	30967782	ORAI3
16	30968615	30996437	SETD1A
3	39149152	39180394	TTC21A
7	56148440	56160689	PHKG1
1	74937776	74978298	LRRC53
7	56169262	56174269	CHCHD2
7	57509883	57533265	ZNF716
1	75667816	76076801	SLC44A5
17	17408877	17495022	PEMT
3	39304985	39323226	CX3CR1
1	81771845	82458107	LPHN2
7	64330550	64391344	ZNF273
11	93063137	93171653	CCDC67
2	88856259	88927094	EIF2AK3
3	33429828	33482863	UBP1
11	65712916	65727434	TSGA10IP
3	33537737	33759848	CLASP2
12	44902058	45315631	NELL2
1	12627939	12677737	DHRS3
3	10327359	10334631	GHRL
1	13641973	13648988	PRAMEF15
1	13668269	13673511	PRAMEF14
1	13694889	13698405	PRAMEF19
7	27778950	27880938	TAX1BP1
13	23755091	23899304	SGCG
3	14989091	15095107	NR2C2
13	23902965	24007841	SACS
1	2252692	2323146	MORN1
7	18126572	19036993	HDAC9
13	24304328	24463558	MIPEP
1	13716088	13719064	PRAMEF17
3	15083967	15106842	MRPS25
12	24964295	25102393	BCAT1
11	9041071	9159661	SCUBE2
7	27870192	28220362	JAZF1
13	25802307	25862147	MTMR6
13	25875662	25923938	NUPL1
11	15133970	15268754	INSC
12	13714144	14133053	GRIN2B
7	28338940	28865511	CREB5
13	26828276	26979375	CDK8
12	25173936	25261268	LRMP
1	2323267	2335190	RER1
13	27640293	27746033	USP12
1	2336236	2345236	PEX10
1	2398898	2436969	PLCH2
13	28874489	29069265	FLT1
11	15987995	16761138	SOX6
11	9160372	9286937	DENND5A
13	30776767	30881621	KATNAL1
3	10365707	10749716	ATP2B2
7	29034847	29235067	CPVL
12	25261354	25348096	CASC1
13	32313674	32377009	RXFP2
HG186_PATCH	50712672	51421329	DOCK3
6	37179956	37225931	TMEM217
16	16043434	16236931	ABCC1
6	37225548	37300746	TBC1D22B
11	9406169	9469673	IPO7
11	8127597	8190602	RIC3
11	16799842	17035990	PLEKHA7
13	35516424	36247159	NBEA
3	9958758	9975314	IL17RC
11	8245851	8290263	LMO1
13	36047926	36050832	MAB21L1
13	36875775	36944317	SPG20
11	8413418	8615836	STK33
7	14184674	15014402	DGKB
1	57460451	59012406	DAB1
1	59120411	59165764	MYSM1
12	39040624	39301232	CPNE8
11	24518516	25104150	LUZP2
3	9975506	9987097	CRELD1
7	40174575	40900362	C7orf10
6	36410544	36458920	KCTD20
3	9987226	9994078	PRRT3
12	12510013	12619840	LOH12CR1
15	41267889	41408552	INO80
3	10004221	10052800	TMEM111
12	12628829	12715317	DUSP16
6	36461669	36515247	STK38
6	47624172	47665533	GPR111
7	29846102	29956682	WIPF3
6	36644305	36655116	CDKN1A
8	31496902	32622548	NRG1
8	18384811	18942240	PSD3
6	36690372	36696578	RAB44
6	36708552	36807778	CPNE5
7	29959719	30029905	SCRN1
8	19171128	19253729	SH2D4A
8	19261672	19615540	CSGALNACT1
6	47653600	47689757	GPR115
22	16868420	16871613	ABCD1P4
7	17338246	17385776	AHR
