Chromosome	Start	End	Gene
14	54765688	54774632	UBE2L7P
8	7157778	7164883	DEFB109P1
8	57148952	57149014	SNORD54
5	78842013	78842476	RPL29P15
7	38266214	38271804	TRGV9
7	38297742	38298204	TRGV11
7	38323143	38323618	TRGV9
7	38355481	38355950	TRGV5
7	38364638	38365105	TRGV3
3	55667516	55668123	C3orf51
12	64717273	64717761	RPL21P18
12	64914120	64915241	RBMS1P
6	64383691	64384264	RPL9P18
6	12622292	12622993	RPL15P3
1	27848517	27848708	CCDC72
6	28168305	28168598	ZSCAN12L1
6	30490471	30495075	MICC
c6_COX	28847846	28848733	RPSAP2
c6_COX	30571408	30572935	TMPOP1
c6_COX	30573776	30575145	SUCLA2P
8	6795658	6796531	DEFA8P
8	6804221	6805093	DEFA9P
8	6813073	6814045	DEFA10P
8	6967789	6968636	RPS3AP6
9	40053116	40053806	VN2R4P
9	40361838	40362540	VN2R5P
1	58286435	58287551	HNRNPA1L1
1	93428885	93429205	RPL36AP11
20	44037295	44038121	FTLP
20	54709300	54709977	PTMAP6
22	15248420	15251613	ABCD1P4
1	16440295	16440480	MTL1
1	27554257	27565970	MAP3K6
1	1236828	1249909	CPSF3L
1	1250006	1254139	GLTPD1
1	1256589	1260550	TAS1R3
1	1260522	1274623	DVL1
1	1277935	1286506	MXRA8
1	1298973	1300443	AURKAIP1
1	1311738	1324560	CCNL2
1	1327164	1332524	MRPL20
1	1360772	1366008	VWA1
1	1624029	1645637	CDC2L2
1	1646137	1667291	SLC35E2
1	1672531	1701368	NADK
1	2242556	2346079	MORN1
1	2313074	2326734	RER1
1	2326103	2333870	PEX10
1	2397614	2426829	PLCH2
1	2429835	2447895	PANK4
1	2450046	2451544	HES5
1	2927906	2929325	ACTRT2
1	6767971	7752350	CAMTA1
1	8928509	8957733	CA6
1	8985946	9008991	SLC2A7
1	9019594	9052257	SLC2A5
1	9635266	9637231	C1orf200
1	9634377	9711759	PIK3CD
1	9711667	9807137	CLSTN1
8	172200	187342	ZNF596
12	18150	19673	FAM138D
15	18848558	18971443	HERC2P2
12	46310	157881	IQSEC3
1	12550526	12600381	DHRS3
12	169513	193068	SLC6A12
12	200052	242263	SLC6A13
8	2780282	3258996	CSMD1
1	13514560	13521575	PRAMEF15
8	6251529	6493434	MCPH1
1	13540856	13546098	PRAMEF14
1	13567476	13570992	PRAMEF19
1	13588687	13591651	PRAMEF17
4	483010	523317	PIGG
c6_COX	30594358	30599096	HLA-E
5	324736	491392	PDCD6
8	6822581	6825012	DEFA1
